"BY RELIGION, SEX AND RURAL/URBAN",,,,,,,,,,,,


Id,Division,District,Tehsil,Area,Sex,Total,Muslim,Christian,HinduJati,QadianiAhmadi,Scheduled_Castes,Others
119,BAHAWALPUR,RAHIM YAR KHAN,KHANPUR TEHSIL,TOTAL,MALE,354391,346306,1609,4273,349,765,1089
120,BAHAWALPUR,RAHIM YAR KHAN,KHANPUR TEHSIL,TOTAL,FEMALE,329474,322116,1462,3925,341,700,930
121,BAHAWALPUR,RAHIM YAR KHAN,KHANPUR TEHSIL,RURAL,BOTH SEXES,533926,520300,2328,7658,466,1436,1738
122,BAHAWALPUR,RAHIM YAR KHAN,KHANPUR TEHSIL,RURAL,MALE,276695,269530,1229,3993,252,751,940
123,BAHAWALPUR,RAHIM YAR KHAN,KHANPUR TEHSIL,RURAL,FEMALE,257231,250770,1099,3665,214,685,798
124,BAHAWALPUR,RAHIM YAR KHAN,KHANPUR TEHSIL,URBAN,BOTH SEXES,149939,148122,743,540,224,29,281
125,BAHAWALPUR,RAHIM YAR KHAN,KHANPUR TEHSIL,URBAN,MALE,77696,76776,380,280,97,14,149
126,BAHAWALPUR,RAHIM YAR KHAN,KHANPUR TEHSIL,URBAN,FEMALE,72243,71346,363,260,127,15,132
127,BAHAWALPUR,RAHIM YAR KHAN,LIAQUAT PUR TEHSIL,TOTAL,BOTH SEXES,698985,689102,1143,5499,430,929,1882
128,BAHAWALPUR,RAHIM YAR KHAN,LIAQUAT PUR TEHSIL,TOTAL,MALE,363291,358244,559,2808,223,489,968
129,BAHAWALPUR,RAHIM YAR KHAN,LIAQUAT PUR TEHSIL,TOTAL,FEMALE,335694,330858,584,2691,207,440,914
130,BAHAWALPUR,RAHIM YAR KHAN,LIAQUAT PUR TEHSIL,RURAL,BOTH SEXES,666127,657433,683,4895,363,925,1828
131,BAHAWALPUR,RAHIM YAR KHAN,LIAQUAT PUR TEHSIL,RURAL,MALE,346430,341977,319,2502,203,486,943
132,BAHAWALPUR,RAHIM YAR KHAN,LIAQUAT PUR TEHSIL,RURAL,FEMALE,319697,315456,364,2393,160,439,885
133,BAHAWALPUR,RAHIM YAR KHAN,LIAQUAT PUR TEHSIL,URBAN,BOTH SEXES,32858,31669,460,604,67,4,54
134,BAHAWALPUR,RAHIM YAR KHAN,LIAQUAT PUR TEHSIL,URBAN,MALE,16861,16267,240,306,20,3,25
135,BAHAWALPUR,RAHIM YAR KHAN,LIAQUAT PUR TEHSIL,URBAN,FEMALE,15997,15402,220,298,47,1,29
136,BAHAWALPUR,RAHIM YAR KHAN,RAHIM YAR KHAN TEHSIL,TOTAL,BOTH SEXES,985655,939704,6461,27119,890,6619,4862
137,BAHAWALPUR,RAHIM YAR KHAN,RAHIM YAR KHAN TEHSIL,TOTAL,MALE,514371,490524,3345,14101,454,3460,2487
138,BAHAWALPUR,RAHIM YAR KHAN,RAHIM YAR KHAN TEHSIL,TOTAL,FEMALE,471284,449180,3116,13018,436,3159,2375
139,BAHAWALPUR,RAHIM YAR KHAN,RAHIM YAR KHAN TEHSIL,RURAL,BOTH SEXES,710989,674066,1815,24247,510,6019,4332
140,BAHAWALPUR,RAHIM YAR KHAN,RAHIM YAR KHAN TEHSIL,RURAL,MALE,371796,352628,948,12618,264,3128,2210
141,BAHAWALPUR,RAHIM YAR KHAN,RAHIM YAR KHAN TEHSIL,RURAL,FEMALE,339193,321438,867,11629,246,2891,2122
142,BAHAWALPUR,RAHIM YAR KHAN,RAHIM YAR KHAN TEHSIL,URBAN,BOTH SEXES,274666,265638,4646,2872,380,600,530
143,BAHAWALPUR,RAHIM YAR KHAN,RAHIM YAR KHAN TEHSIL,URBAN,MALE,142575,137896,2397,1483,190,332,277
144,BAHAWALPUR,RAHIM YAR KHAN,RAHIM YAR KHAN TEHSIL,URBAN,FEMALE,132091,127742,2249,1389,190,268,253
145,BAHAWALPUR,RAHIM YAR KHAN,SADIQABAD TEHSIL,TOTAL,BOTH SEXES,772548,742036,3410,15241,657,8436,2768
146,BAHAWALPUR,RAHIM YAR KHAN,SADIQABAD TEHSIL,TOTAL,MALE,404811,388781,1771,8000,342,4453,1464
147,BAHAWALPUR,RAHIM YAR KHAN,SADIQABAD TEHSIL,TOTAL,FEMALE,367737,353255,1639,7241,315,3983,1304
148,BAHAWALPUR,RAHIM YAR KHAN,SADIQABAD TEHSIL,RURAL,BOTH SEXES,613429,587504,1668,12674,535,8412,2636
149,BAHAWALPUR,RAHIM YAR KHAN,SADIQABAD TEHSIL,RURAL,MALE,322124,308445,864,6691,289,4437,1398
150,BAHAWALPUR,RAHIM YAR KHAN,SADIQABAD TEHSIL,RURAL,FEMALE,291305,279059,804,5983,246,3975,1238
151,BAHAWALPUR,RAHIM YAR KHAN,SADIQABAD TEHSIL,URBAN,BOTH SEXES,159119,154532,1742,2567,122,24,132
152,BAHAWALPUR,RAHIM YAR KHAN,SADIQABAD TEHSIL,URBAN,MALE,82687,80336,907,1309,53,16,66
153,BAHAWALPUR,RAHIM YAR KHAN,SADIQABAD TEHSIL,URBAN,FEMALE,76432,74196,835,1258,69,8,66
154,DERA GHAZI KHAN,DERA GHAZI KHAN,DERA GHAZI KHAN DISTRICT,TOTAL,BOTH SEXES,1643118,1635915,234,100,3254,240,3375
155,DERA GHAZI KHAN,DERA GHAZI KHAN,DERA GHAZI KHAN DISTRICT,TOTAL,MALE,853782,850022,125,47,1688,131,1769
156,DERA GHAZI KHAN,DERA GHAZI KHAN,DERA GHAZI KHAN DISTRICT,TOTAL,FEMALE,789336,785893,109,53,1566,109,1606
157,DERA GHAZI KHAN,DERA GHAZI KHAN,DERA GHAZI KHAN DISTRICT,RURAL,BOTH SEXES,1414279,1408693,113,76,2281,216,2900
158,DERA GHAZI KHAN,DERA GHAZI KHAN,DERA GHAZI KHAN DISTRICT,RURAL,MALE,735347,732385,64,37,1210,120,1531
159,DERA GHAZI KHAN,DERA GHAZI KHAN,DERA GHAZI KHAN DISTRICT,RURAL,FEMALE,678932,676308,49,39,1071,96,1369
160,DERA GHAZI KHAN,DERA GHAZI KHAN,DERA GHAZI KHAN DISTRICT,URBAN,BOTH SEXES,228839,227222,121,24,973,24,475
161,DERA GHAZI KHAN,DERA GHAZI KHAN,DERA GHAZI KHAN DISTRICT,URBAN,MALE,118435,117637,61,10,478,11,238
162,DERA GHAZI KHAN,DERA GHAZI KHAN,DERA GHAZI KHAN DISTRICT,URBAN,FEMALE,110404,109585,60,14,495,13,237
163,DERA GHAZI KHAN,DERA GHAZI KHAN,DE-EXCLUDED AREA D.G KHAN,TOTAL,BOTH SEXES,126198,126038,7,-,33,110,10
164,DERA GHAZI KHAN,DERA GHAZI KHAN,DE-EXCLUDED AREA D.G KHAN,TOTAL,MALE,65757,65675,4,-,17,56,5
165,DERA GHAZI KHAN,DERA GHAZI KHAN,DE-EXCLUDED AREA D.G KHAN,TOTAL,FEMALE,60441,60363,3,-,16,54,5
166,DERA GHAZI KHAN,DERA GHAZI KHAN,DE-EXCLUDED AREA D.G KHAN,RURAL,BOTH SEXES,126198,126038,7,-,33,110,10
167,DERA GHAZI KHAN,DERA GHAZI KHAN,DE-EXCLUDED AREA D.G KHAN,RURAL,MALE,65757,65675,4,-,17,56,5
168,DERA GHAZI KHAN,DERA GHAZI KHAN,DE-EXCLUDED AREA D.G KHAN,RURAL,FEMALE,60441,60363,3,-,16,54,5
169,DERA GHAZI KHAN,DERA GHAZI KHAN,DERA GHAZI KHAN TEHSIL,TOTAL,BOTH SEXES,1151236,1145325,213,61,2926,112,2599
170,DERA GHAZI KHAN,DERA GHAZI KHAN,DERA GHAZI KHAN TEHSIL,TOTAL,MALE,599478,596361,115,30,1530,65,1377
171,DERA GHAZI KHAN,DERA GHAZI KHAN,DERA GHAZI KHAN TEHSIL,TOTAL,FEMALE,551758,548964,98,31,1396,47,1222
172,DERA GHAZI KHAN,DERA GHAZI KHAN,DERA GHAZI KHAN TEHSIL,RURAL,BOTH SEXES,960694,956192,100,40,2096,89,2177
173,DERA GHAZI KHAN,DERA GHAZI KHAN,DERA GHAZI KHAN TEHSIL,RURAL,MALE,500740,498316,58,21,1120,55,1170
174,DERA GHAZI KHAN,DERA GHAZI KHAN,DERA GHAZI KHAN TEHSIL,RURAL,FEMALE,459954,457876,42,19,976,34,1007
175,DERA GHAZI KHAN,DERA GHAZI KHAN,DERA GHAZI KHAN TEHSIL,URBAN,BOTH SEXES,190542,189133,113,21,830,23,422
176,DERA GHAZI KHAN,DERA GHAZI KHAN,DERA GHAZI KHAN TEHSIL,URBAN,MALE,98738,98045,57,9,410,10,207
177,DERA GHAZI KHAN,DERA GHAZI KHAN,DERA GHAZI KHAN TEHSIL,URBAN,FEMALE,91804,91088,56,12,420,13,215
178,DERA GHAZI KHAN,DERA GHAZI KHAN,TAUNSA TEHSIL,TOTAL,BOTH SEXES,365684,364552,14,39,295,18,766
179,DERA GHAZI KHAN,DERA GHAZI KHAN,TAUNSA TEHSIL,TOTAL,MALE,188547,187986,6,17,141,10,387
180,DERA GHAZI KHAN,DERA GHAZI KHAN,TAUNSA TEHSIL,TOTAL,FEMALE,177137,176566,8,22,154,8,379
181,DERA GHAZI KHAN,DERA GHAZI KHAN,TAUNSA TEHSIL,RURAL,BOTH SEXES,327387,326463,6,36,152,17,713
182,DERA GHAZI KHAN,DERA GHAZI KHAN,TAUNSA TEHSIL,RURAL,MALE,168850,168394,2,16,73,9,356
